title	DOI	url	issns	journal	authors	issns1	issns2	published_on	last_updated	cited_by_fbwalls_count	cited_by_feeds_count	cited_by_gplus_count	cited_by_msm_count	cited_by_posts_count	cited_by_rdts_count	cited_by_tweeters_count	cited_by_videos_count	cited_by_accounts_count	cited_by_patents_count	mendeley	altmetric_score	is_oa	author.names	issn	citations	CiteScore	SJR	WebQualis
24/7 Physical Therapy Intervention With Adult Patients in a Chilean Intensive Care Unit: A Cost-Benefit Analysis in a Developing Country	10.1016/j.vhri.2020.04.006	http://dx.doi.org/10.1016/j.vhri.2020.04.006	2212-1099	Value in Health Regional Issues	Catalina Merino-Osorio			2020	1685079048	0	0	0	0	24	0	18	0	18	0	32	13	TRUE	Catalina Merino-Osorio, Mónica Velásquez, Roberto Reveco, José Ignacio Marmolejo, Carolina Fu	2212-1099	5	2.5	0.525	B2
A Behavior Change Intervention Aimed at Increasing Physical Activity Improves Clinical Control in Adults With Asthma A Randomized Controlled Trial	10.1016/j.chest.2020.08.2113	http://dx.doi.org/10.1016/j.chest.2020.08.2113	0012-3692	CHEST	Patricia D Freitas			2020	1674734246	0	1	0	5	40	0	25	0	31	0	109	58	FALSE	Patricia D Freitas, Natalia F P Passos, Regina M Carvalho-Pinto, Milton A Martins, Vinicius Cavalheri, Kylie Hill, Rafael Stelmach, Celso R F Carvalho	0012-3692	30	11.9	2.123	A1
A cross-sectional study of associations between kinesiophobia, pain, disability, and quality of life in patients with chronic low back pain	10.1186/s42358-018-0011-2	http://dx.doi.org/10.1186/s42358-018-0011-2	2523-3106	Advances in Rheumatology	Josielli Comachio			2018	1654800028	1	0	0	0	11	0	9	1	11	0	177	7	TRUE	Josielli Comachio, Mauricio Oliveira Magalhães, Ana Paula de Moura Campos Carvalho e Silva, Amélia Pasqual Marques	2523-3106	43	4.4	0.704	B2
A didactic approach to presenting verbal and visual information to children participating in research protocols: the comic book informed assent	10.6061/clinics/2018/e207	http://dx.doi.org/10.6061/clinics/2018/e207	1807-5932	Clinics	Thaís Massetti			2018	1651012217	0	0	0	0	5	0	4	0	4	0	67	2	TRUE	Thaís Massetti, Tânia Brusque Crocetta, Regiani Guarnieri, Talita Dias da Silva, Andrea Fernanda Leal, Mariana Callil Voos, Carlos Bandeira de Mello Monteiro	1807-5932	9	3.5	0.535	A4
A genetic linkage study in Brazil identifies a new locus for persistent developmental stuttering on chromosome 10	10.4238/2014.march.24.13	http://dx.doi.org/10.4238/2014.march.24.13	1676-5680	Genetics and Molecular Research	C E F Domingues			2014	1397766444	0	0	0	0	3	0	3	0	3	0	26	3	TRUE	C E F Domingues, C M C Olivera, B V Oliveira, F S Juste, C R F Andrade, C M Giacheti, D Moretti-Ferreira, D Drayna	1676-5680	15	1.2	0.173	B2
A Narrative Review of Current Concerns and Future Perspectives of the Carbohydrate Mouth Rinse Effects on Exercise Performance	10.1177/20503121221098120	http://dx.doi.org/10.1177/20503121221098120	2050-3121	SAGE Open Medicine	Vitor de Salles Painelli			2022	1659979596	0	0	0	0	6	0	4	0	5	0	17	4	TRUE	Vitor de Salles Painelli, Cayque Brietzke, Paulo Estevão Franco-Alvarenga, Raul Canestri, Ítalo Vinícius, Flávio Oliveira Pires	2050-3121	4	3.2	0.615	B2
A relevância da medida de sílabas por minuto na avaliação da velocidade de leitura	10.1590/2317-1782/20172016080	http://dx.doi.org/10.1590/2317-1782/20172016080	2317-1782	CoDAS	Aparecido José Couto Soares			2017	1662126177	0	0	0	0	1	0	1	0	1	0	10	1	TRUE	Aparecido José Couto Soares, Maria Silvia Cárnio, Haydée Fiszbein Wertzner	2317-1782	2	1.0	0.307	A3
A systematic review of the use of telehealth in speech, language and hearing sciences	10.1177/1357633x15583215	http://dx.doi.org/10.1177/1357633x15583215	1357-633X	Journal of Telemedicine and Telecare	Daniela Regina Molini-Avejonas			2015	1588062040	0	0	0	0	12	0	12	0	12	0	352	8	FALSE	Daniela Regina Molini-Avejonas, Silmara Rondon-Melo, Cibelle Albuquerque de La Higuera Amato, Alessandra Giannella Samelli	1357-633X	174	12.6	1.056	A2
A web-based educational therapy intervention associated with physical exercise to promote health in fibromyalgia in Brazil: the Amigos De Fibro (Fibro Friends) study protocol	10.1186/s13063-023-07588-3	http://dx.doi.org/10.1186/s13063-023-07588-3	1745-6215	Trials	Mateus Dias Antunes			2023	1696913766	0	0	0	0	1	0	1	0	1	0	26	1	TRUE	Mateus Dias Antunes, Felipe Cayres Nogueira da Rocha Loures, Ingred Merllin Batista de Souza, Ariela Torres Cruz, Priscila de Oliveira Januário, Mara Maria Lisboa Santana Pinheiro, Ana Carolina Basso Schmitt, Elisa Frutos-Bernal, Ana María Martín-Nogueras, Amélia Pasqual Marques	1745-6215	3	3.6	0.812	B1
Abnormalities of plantar pressure distribution in early, intermediate, and late stages of diabetic neuropathy	10.1016/j.gaitpost.2014.06.018	http://dx.doi.org/10.1016/j.gaitpost.2014.06.018	0966-6362	Gait & Posture	Isabel C.N. Sacco			2014	1414962606	3	0	0	0	3	0	0	0	3	0	135	1	FALSE	Isabel C.N. Sacco, Adriana N. Hamamoto, Lucas M.G. Tonicelli, Ricky Watari, Neli R.S. Ortega, Cristina D. Sartor	0966-6362	56	4.8	0.724	A2
